sltg,t,anomaly
2.896,1954-10-16 03:00:00,1
2.896,1954-10-16 05:00:00,1
2.896,1954-10-16 06:00:00,1
3.2,1955-08-13 13:00:00,1
2.957,1955-08-13 16:00:00,1
3.06,2003-09-19 05:00:00,1
3.199,2003-09-19 06:00:00,1
3.326,2003-09-19 07:00:00,1
3.425,2003-09-19 08:00:00,1
3.55,2003-09-19 09:00:00,1
3.604,2003-09-19 10:00:00,1
3.669,2003-09-19 11:00:00,1
3.733,2003-09-19 12:00:00,1
3.683,2003-09-19 13:00:00,1
3.615,2003-09-19 14:00:00,1
3.508,2003-09-19 15:00:00,1
3.375,2003-09-19 16:00:00,1
3.231,2003-09-19 17:00:00,1
3.073,2003-09-19 18:00:00,1
2.922,2003-09-19 19:00:00,1
